2a3439|200.15.19|Gunmetal
F8F8F8|60.0.97|Guyabano
663854|323.45.40|Halayà úbe
EB6123|19.85.92|Halloween orange
446CCF|223.67.81|Han blue
5218FA|255.90.98|Han purple
E9D66B|51.54.91|Hansa yellow
3FFF00|105.100.100|Harlequin
46CB18|105.88.80|Harlequin green
F29CB7|341.36.95|Harmonious rose
C90016|353.100.79|Harvard crimson
DA9100|40.100.85|Harvest gold
808000|60.100.50|Heart gold
FF7A00|29.100.100|Heat Wave
960018|10.100.60|Heidelberg red
DF73FF|286.55.100|Heliotrope
AA98A9|303.11.67|Heliotrope gray
AA00BB|295.100.73|Heliotrope magenta
F400A1|320.100.96|Hollywood cerise
F0FFF0|120.6.100|Honeydew
006DB0|203.100.69|Honolulu blue
49796B|163.40.47|Hooker's green
FF1DCE|313.89.100|Hot magenta
FF69B4|330.59.100|Hot pink
355E3B|129.44.37|Hunter green
71A6D2|207.46.82|Iceberg
923C01|24.99.57|Iced tea
FCF75E|58.63.99|Icterine
71BC78|126.40.74|Iguana green
319177|164.66.57|Illuminating emerald
602F6B|289.56.42|Imperial
002395|226.100.58|Imperial blue
66023C|325.98.40|Imperial purple
ED2939|355.83.93|Imperial red
B2EC5D|84.61.93|Inchworm
4C516D|231.30.43|Independence
138808|115.94.53|India green
CD5C5C|0.55.80|Indian red
E3A857|35.62.89|Indian yellow
4B0082|266.100.100|Indigo
091F92|230.94.57|Indigo dye
4F69C6|227.60.78|Indigo (Crayola)
233067|230.60.40|Indigo (Rainbow)
4B0082|275.100.51|Indigo (web)
FF496C|348.71.100|Infra red
360CCC|253.94.80|Interdimensional blue
002FA7|223.100.65|International Klein Blue
FF4F00|19.100.100|International orange (aerospace)
BA160C|3.94.73|International orange (engineering)
C0362C|4.77.75|International orange (Golden Gate Bridge)
5A4FCF|245.62.81|Iris
B3446C|338.62.70|Irresistible
F4F0EC|30.3.96|Isabelline
009000|120.100.56|Islamic green
B2FFFF|180.30.100|Italian sky blue
FFFFF0|60.6.100|Ivory
413628|34.38.25|Jacko bean
00A86B|158.100.66|Jade
9D2933|355.74.62|Japanese carmine
264348|189.47.28|Japanese indigo
5B3256|307.45.36|Japanese violet
F8DE7E|47.49.97|Jasmine
A50B5E|328.93.65|Jazzberry jam
DA614E|8.64.85|Jelly bean
343434|0.0.20|Jet
F4CA16|49.91.96|Jonquil
8AB9F1|213.43.95|Jordy blue
BDDA57|73.60.85|June bud
29AB87|163.76.67|Jungle green
4CBB17|101.88.73|Kelly green
7C1C05|12.96.49|Kenyan copper
3AB09E|171.67.69|Keppel
E8F48C|67.43.96|Key lime
C3B091|37.26.76|Khaki (HTML/CSS) (Khaki)
F0E68C|54.42.94|Khaki (X11) (Light khaki)
8EE53F|91.72.90|Kiwi
882D17|12.83.53|Kobe
E79FC4|329.31.91|Kobi
6B4423|28.67.42|Kobicha
354230|103.27.26|Kombu green
512888|266.71.53|KSU Purple
E8000D|357.100.91|KU Crimson
087830|141.93.47|La Salle green
D6CADD|278.9.87|Languid lavender
E0BC5B|44.59.88|Lanzones
26619C|210.76.61|Lapis lazuli
FFFF66|60.60.100|Laser Lemon
A9BA9D|95.16.73|Laurel green
CF1020|355.92.81|Lava
B57EDC|275.43.86|Lavender (floral)
E6E6FA|240.8.98|Lavender (web)
CCCCFF|240.20.100|Lavender blue
FFF0F5|340.6.100|Lavender blush
C4C3D0|245.6.82|Lavender gray
9457EB|265.63.92|Lavender indigo
EE82EE|300.45.93|Lavender magenta
E6E6FA|240.8.98|Lavender mist
FBAED2|332.31.98|Lavender pink
967BB6|267.32.71|Lavender purple
FBA0E3|316.36.98|Lavender rose
7CFC00|90.100.99|Lawn green
FFF700|58.100.100|Lemon
FFFACD|54.20.100|Lemon chiffon
CCA01D|45.86.80|Lemon curry
FDFF00|60.100.100|Lemon glacier
BD3000|16.100.74|Lemon iced tea
E3FF00|67.100.100|Lemon lime
5CFF67|124.64.100|Lemon lime
F6EABE|47.23.96|Lemon meringue
FFF44F|56.69.100|Lemon yellow
FFFF9F|60.38.100|Lemon yellow (Crayola)
545AA7|236.50.65|Liberty
1A1110|6.38.10|Licorice
FDD5B1|28.30.99|Light apricot
ADD8E6|195.25.90|Light blue
B5651D|28.84.71|Light brown
E66771|355.55.90|Light carmine pink
551F2F|342.64.33|Light chocolate cosmos
88ACE0|215.39.88|Light cobalt blue
F08080|0.47.94|Light coral
93CCEA|201.37.92|Light cornflower blue
F56991|343.57.96|Light crimson
E0FFFF|180.12.100|Light cyan
FF5CCD|318.64.100|Light deep pink
C8AD7F|38.37.78|Light French beige
F984EF|305.47.98|Light fuchsia pink
B29700|52.100.70|Light gold
FAFAD2|60.16.98|Light goldenrod yellow
D3D3D3|0.0.83|Light gray
CC99CC|300.25.80|Light grayish magenta
90EE90|120.39.93|Light green
FFB3DE|326.30.100|Light hot pink
F0E68C|54.42.94|Light khaki
D39BCB|309.27.83|Light medium orchid
ADDFAD|120.22.87|Light moss green
FED8B1|30.30.100|Light orange
E6A8D7|315.27.90|Light orchid
B19CD9|261.28.85|Light pastel purple
C5CBE1|228.12.88|Light periwinkle
FFB6C1|351.29.100|Light pink
FFCCCB|2.20.100|Light red
E97451|14.65.91|Light red ochre
FFA07A|17.52.100|Light salmon
FF9999|0.40.100|Light salmon pink
20B2AA|177.82.70|Light sea green
D8D8D8|60.0.85|Light silver
87CEFA|203.46.98|Light sky blue
778899|210.22.60|Light slate gray
B0C4DE|214.21.87|Light steel blue
B38B6D|26.39.70|Light taupe
E68FAC|340.38.90|Light Thulian pink
FFFFE0|60.12.100|Light yellow
C8A2C8|300.19.78|Lilac
AE98AA|311.13.68|Lilac Luster
BFFF00|75.100.100|Lime (color wheel)
00FF00|120.100.100|Lime (web) (X11 green)
32CD32|120.76.80|Lime green
9DC209|72.95.76|Limerick
195905|106.94.35|Lincoln green
FAF0E6|30.8.98|Linen
C19A6B|33.45.76|Lion
DE6FA1|333.50.87|Liseran purple
6CA0DC|212.51.86|Little boy blue
F8B9D4|334.25.97|Little girl pink
674C47|9.31.40|Liver
B86D29|29.78.72|Liver (dogs)
6C2E1F|12.71.42|Liver (organ)
987456|27.43.60|Liver chestnut
6699CC|210.50.80|Livid
FEFDFA|45.2.100|Lotion
15F2FD|33.45.76|Lotion blue
ECCFCF|0.12.93|Lotion pink
FFE4CD|28.20.100|Lumber
E62020|0.86.90|Lust
001C3D|212.100.24|Maastricht Blue
FFBD88|27.47.100|Macaroni and Cheese
CC3336|359.75.80|Madder Lake
FBEC5D|54.63.98|Maize
F2C649|44.70.95|Maize (Crayola)
6050DC|247.64.86|Majorelle Blue
0BDA51|140.95.85|Malachite
979AAA|231.11.67|Manatee
F37A48|18.70.95|Mandarin
FDBE02|46.99.99|Mango
96FF00|85.100.100|Mango green
FF8243|20.74.100|Mango Tango
74C365|110.48.76|Mantis
